species,ID,bud,CN,TL
gua,1,1,158,2878.077
gua,1,2,238,3863.032
gua,1,3,263,7147.708
gua,1,4,278,11272.685
gua,1,5,278,25956.12
gua,2,1,172,3384.978
gua,2,2,215,6262.197
gua,2,3,207,6017.649
gua,2,4,218,9204.267
gua,2,5,236,21734.296
gua,3,1,135,2469.668
gua,3,2,217,5164.535
gua,3,3,244,7576.956
gua,3,4,270,12153.282
gua,3,5,248,22197.235
gua,4,1,NA,NA
gua,4,2,205,3452.025
gua,4,3,254,5826.433
gua,4,4,270,10272.425
gua,4,5,275,24870.017
gua,5,1,158,2698.638
gua,5,2,209,5068.971
gua,5,3,229,6922.648
gua,5,4,249,10317.713
gua,5,5,232,18242.183
sta,1,1,101,2508.719
sta,1,2,119,3425.814
sta,1,3,105,4360.941
sta,1,4,105,5300.738
sta,1,5,102,9632.394
sta,2,1,83,1408.927
sta,2,2,109,2172.208
sta,2,3,109,3045.133
sta,2,4,118,4283.17
sta,2,5,108,8955.202
sta,3,1,99,1705.078
sta,3,2,93,2097.096
sta,3,3,104,3055.105
sta,3,4,106,4783.742
sta,3,5,119,10076.193
sta,4,1,82,1502.487
sta,4,2,99,3088.059
sta,4,3,102,3520.561
sta,4,4,97,4841.936
sta,4,5,108,9273.44
sta,5,1,84,1541.907
sta,5,2,103,3130.691
sta,5,3,99,3509.811
sta,5,4,107,4638.961
sta,5,5,102,9808.633
